"","mun","tipoesc","nomesc","endesc","numesc","complend","baiesc","ddd","fone1","fone2","email","alem","alejaem","alteleem","nomeFormat","cidNome","cep","endComp"
"94","Campinas","08","jose carlos nogueira reverendo professor","rua  dos ipes amarelos","111",NA,"vila boa vista","019","32451266",NA,"e018855a@educacao.sp.gov.br"," 232","  0","0","Reverendo Professor Jose Carlos Nogueira","Campinas - Reverendo Professor Jose Carlos Nogueira","13064-771","rua  dos ipes amarelos, 111, NA, Campinas"
"95","Campinas","08","norberto de souza pinto prof doutor","rua jean paul sartre","585",NA,"jardim novo campos elisios","019","32273082","32685830","e018910a@educacao.sp.gov.br"," 357","  0","0","Prof Doutor Norberto De Souza Pinto","Campinas - Prof Doutor Norberto De Souza Pinto","13060-413","rua jean paul sartre, 585, NA, Campinas"
"96","Campinas","08","elvira de pardo meo muraro","rua vicente de marchi","sn",NA,"jardim florence i","019","32273424","32685866","e047200a@educacao.sp.gov.br"," 748","  0","0","Elvira De Pardo Meo Muraro","Campinas - Elvira De Pardo Meo Muraro","13059-045","rua vicente de marchi, sn, NA, Campinas"
"97","Valinhos","08","antonio alves aranha professor","avenida onze de agosto","1172",NA,"jardim ribeiro","019","38715229",NA,"e018089a@educacao.sp.gov.br"," 739","  0","0","Professor Antonio Alves Aranha","Valinhos - Professor Antonio Alves Aranha","13270-190","avenida onze de agosto, 1172, NA, Valinhos"
"98","Campinas","08","mario natividade doutor","rua conselheiro joao alfredo","400",NA,"vila manoel da nobrega","019","32685833","37290754","e037965a@educacao.sp.gov.br"," 243"," 29","0","Doutor Mario Natividade","Campinas - Doutor Mario Natividade","13061-210","rua conselheiro joao alfredo, 400, NA, Campinas"
"99","Monte Mor","08","laurindo gomes carneiro coronel","rua natal albino leme","200",NA,"jardim san remo","019","38792599","38793077","e903930a@educacao.sp.gov.br"," 227","134","0","Coronel Laurindo Gomes Carneiro","Monte Mor - Coronel Laurindo Gomes Carneiro","13190-000","rua natal albino leme, 200, NA, Monte Mor"
"100","Hortolandia","08","yasuo sasaki","rua turmalina","499",NA,"jardim santa esmeralda","019","38871569",NA,"e039861a@educacao.sp.gov.br"," 122","  0","0","Yasuo Sasaki","Hortolandia - Yasuo Sasaki","13186-534","rua turmalina, 499, NA, Hortolandia"
"101","Hortolandia","08","roberto rodrigues de azevedo pastor","rua tiburtino rodrigues nascimento","sn",NA,"chacaras fazenda  coelho","019","38871818","38871895","e045524a@educacao.sp.gov.br"," 283","  0","0","Pastor Roberto Rodrigues De Azevedo","Hortolandia - Pastor Roberto Rodrigues De Azevedo","13185-498","rua tiburtino rodrigues nascimento, sn, NA, Hortolandia"
"102","Hortolandia","08","recreio alvorada","rua rio mississipi","150",NA,"parque  orestes ongaro","019","39096767",NA,"e919378a@educacao.sp.gov.br"," 154","  0","0","Recreio Alvorada","Hortolandia - Recreio Alvorada","13183-723","rua rio mississipi, 150, NA, Hortolandia"
"103","Sumare","08","belgica alleoni borges professora","rua manoel luciano","34",NA,"jardim primavera","019","38733942",NA,"e910351a@educacao.sp.gov.br","  36","  0","0","Professora Belgica Alleoni Borges","Sumare - Professora Belgica Alleoni Borges","13173-130","rua manoel luciano, 34, NA, Sumare"
"104","Sumare","08","solange maura albino","rua lourdes xavier de oliveira","40",NA,"jardim minesota","019","38543886","38641138","e039834a@educacao.sp.gov.br"," 403","  0","0","Solange Maura Albino","Sumare - Solange Maura Albino","13179-084","rua lourdes xavier de oliveira, 40, NA, Sumare"
"105","Sumare","08","maria de lourdes martins professora","rua osvaldo vacari","777",NA,"jardim  maria  antonia","019","38642081","38543755","e045536a@educacao.sp.gov.br"," 498","  0","0","Professora Maria De Lourdes Martins","Sumare - Professora Maria De Lourdes Martins","13178-374","rua osvaldo vacari, 777, NA, Sumare"
"106","Sumare","08","jose miranda prefeito","rua alair moreira","578",NA,"parque  bandeirantes","019","38323323",NA,"e905641a@educacao.sp.gov.br"," 348","  0","0","Prefeito Jose Miranda","Sumare - Prefeito Jose Miranda","13181-750","rua alair moreira, 578, NA, Sumare"
"107","Sumare","08","sonia maria maschio baptista professora","rua adelia bellonci tomazim","222",NA,"jardim amelia","019","38322212","38322344","e925731a@educacao.sp.gov.br"," 348","  0","0","Professora Sonia Maria Maschio Baptista","Sumare - Professora Sonia Maria Maschio Baptista","13178-626","rua adelia bellonci tomazim, 222, NA, Sumare"
"108","Campinas","08","culto a ciencia","r culto a ciencia","422","casa","botafogo","019","32323511","32375137","e018326a@educacao.sp.gov.br"," 457","  0","0","Culto A Ciencia","Campinas - Culto A Ciencia","13020-060","r culto a ciencia, 422, casa, Campinas"
"109","Campinas","08","geraldo de rezende barao","rua jeronimo pattaro","sn",NA,"barao geraldo","019","32891192","32891220","e018521a@educacao.sp.gov.br"," 308","  0","0","Barao Geraldo De Rezende","Campinas - Barao Geraldo De Rezende","13084-110","rua jeronimo pattaro, sn, NA, Campinas"
"110","Campinas","08","francisco barreto leme","rua antonio nunes felipe","51",NA,"joaquim egidio","019","32986230",NA,"e018107a@educacao.sp.gov.br"," 100","  0","0","Francisco Barreto Leme","Campinas - Francisco Barreto Leme","13108-022","rua antonio nunes felipe, 51, NA, Campinas"
"111","Monte Mor","08","cyriaco scaranello pires conego","rua dez","222",NA,"parque do cafe i","019","38795177",NA,"e920678a@educacao.sp.gov.br"," 551","  0","0","Conego Cyriaco Scaranello Pires","Monte Mor - Conego Cyriaco Scaranello Pires","13190-000","rua dez, 222, NA, Monte Mor"
"112","Campinas","08","orlando signorelli","rua nelson barbosa da silva","sn",NA,"dic vi","019","32668077",NA,"e045676a@educacao.sp.gov.br"," 498","  0","0","Orlando Signorelli","Campinas - Orlando Signorelli","13054-632","rua nelson barbosa da silva, sn, NA, Campinas"
"113","Campinas","08","parque oziel","r fauze selhe","sn","residencial c","jardim monte cristo/parque oziel","019","32696232",NA,"e127012a@educacao.sp.gov.br"," 290","  0","0","Parque Oziel","Campinas - Parque Oziel","13049-066","r fauze selhe, sn, residencial c, Campinas"
"114","Campinas","08","jardim icarai","r amalia forti poli","62",NA,"jardim icarai","019","32274312",NA,"e430705a@educacao.sp.gov.br","  71","  0","0","Jardim Icarai","Campinas - Jardim Icarai","13051-059","r amalia forti poli, 62, NA, Campinas"
"115","Campinas","08","celeste palandi de mello professora","rua doutor ademir cubero ruano","460",NA,"jardim campo belo","019","32255696","32250136","e901124a@educacao.sp.gov.b"," 434"," 51","0","Professora Celeste Palandi De Mello","Campinas - Professora Celeste Palandi De Mello","13053-124","rua doutor ademir cubero ruano, 460, NA, Campinas"
"116","Valinhos","08","jose leme do prado professor","rua sao paulo","435",NA,"vila santana","019","38712397","38711019","e018181a@educacao.sp.gov.br"," 349","  0","0","Professor Jose Leme Do Prado","Valinhos - Professor Jose Leme Do Prado","13274-115","rua sao paulo, 435, NA, Valinhos"
"117","Paulinia","08","nucleo habitacional jose paulino nogueira","avenida dos trabalhadores","400",NA,"jardim monte alegre i","019","38742918",NA,"e035956a@educacao.sp.gov.br"," 339","  0","0","Nucleo Habitacional Jose Paulino Nogueira","Paulinia - Nucleo Habitacional Jose Paulino Nogueira","13142-464","avenida dos trabalhadores, 400, NA, Paulinia"
"118","Sumare","08","vito carmine cerbasi professor","rua waldemar prado","82",NA,"jardim santa madalena","019","38731859","38737774","e042559a@educacao.sp.gov.br"," 256","  0","0","Professor Vito Carmine Cerbasi","Sumare - Professor Vito Carmine Cerbasi","13172-480","rua waldemar prado, 82, NA, Sumare"
"119","Sumare","08","marianina de rosis moraes professora","rua nossa senhora aparecida","279",NA,"parque florely","019","38642005","38543677","e045561a@educacao.sp.gov.br"," 237","  0","0","Professora Marianina De Rosis Moraes","Sumare - Professora Marianina De Rosis Moraes","13178-222","rua nossa senhora aparecida, 279, NA, Sumare"
"120","Sumare","08","manuel albaladejo fernandes","avenida minasa","1320",NA,"vila  san martin","019","38642080","38543880","e045585a@educacao.sp.gov.br"," 648","  0","0","Manuel Albaladejo Fernandes","Sumare - Manuel Albaladejo Fernandes","13180-400","avenida minasa, 1320, NA, Sumare"
"121","Sumare","08","maria ivone martins rosa professora","rua luciano ramos ayala","589",NA,"jardim denadai","019","38543699",NA,"e905636a@educacao.sp.gov.br"," 668","  0","0","Professora Maria Ivone Martins Rosa","Sumare - Professora Maria Ivone Martins Rosa","13181-460","rua luciano ramos ayala, 589, NA, Sumare"
"122","Campinas","08","luis gonzaga de moura monsenhor","r carlos francheu","100",NA,"dae","019","32527799","32529914","e018120a@educacao.sp.gov.br"," 276","  0","0","Monsenhor Luis Gonzaga De Moura","Campinas - Monsenhor Luis Gonzaga De Moura","13023-610","r carlos francheu, 100, NA, Campinas"
"123","Campinas","08","joao lourenco rodrigues professor","rua doutor emilio ribas","710",NA,"cambui","019","37530225",NA,"e018235a@educacao.sp.gov.br"," 308","  0","0","Professor Joao Lourenco Rodrigues","Campinas - Professor Joao Lourenco Rodrigues","13025-141","rua doutor emilio ribas, 710, NA, Campinas"
"124","Campinas","08","francisco glicerio","avenida doutor moraes sales","988",NA,"centro","019","32362128","32371077","e018247a@educacao.sp.gov.br"," 114","  0","0","Francisco Glicerio","Campinas - Francisco Glicerio","13010-001","avenida doutor moraes sales, 988, NA, Campinas"
"125","Campinas","08","anibal de freitas professor","r primeiro de marco","38",NA,"jardim nossa senhora auxiliadora","019","32417783","32120844","e018314a@educacao.sp.gov.br"," 318","  0","0","Professor Anibal De Freitas","Campinas - Professor Anibal De Freitas","13075-250","r primeiro de marco, 38, NA, Campinas"
"126","Campinas","08","joaquim ferreira lima professor","rua joao nogueira ferraz filho","30",NA,"vila trinta e um de marco","019","32070037","32070989","e018399a@educacao.sp.gov.br"," 122","  0","0","Professor Joaquim Ferreira Lima","Campinas - Professor Joaquim Ferreira Lima","13091-558","rua joao nogueira ferraz filho, 30, NA, Campinas"
"127","Campinas","08","jose maria matosinho","pc professor paulo jose otaviano","sn",NA,"sao bernardo","019","32735720","32738482","e018570a@educacao.sp.gov.br"," 605"," 87","0","Jose Maria Matosinho","Campinas - Jose Maria Matosinho","13030-629","pc professor paulo jose otaviano, sn, NA, Campinas"
"128","Campinas","08","antonio vilela junior professor","rua conselheiro gomide","sn",NA,"vila industrial","019","32727574","32738481","e018715a@educacao.sp.gov.br"," 184","  0","0","Professor Antonio Vilela Junior","Campinas - Professor Antonio Vilela Junior","13035-320","rua conselheiro gomide, sn, NA, Campinas"
"129","Campinas","08","alberto medaljon professor","rua conselheiro leoncio de carvalho","sn",NA,"vila brandina","019","32534255","32537994","e901088a@educacao.sp.gov.br","  95","  0","0","Professor Alberto Medaljon","Campinas - Professor Alberto Medaljon","13092-529","rua conselheiro leoncio de carvalho, sn, NA, Campinas"
"130","Campinas","34","centro at socio-ed adolesc - maestro carlos gomes un i ui","av comendador aladino selmi","sn",NA,"vila san martin","019","32826837",NA,"pedagcasamcgomes@fundacaocasa.sp.gov.br","  18","  0","0","Centro Atend Socio-educ Adolescente - Maestro Carlos Gomes Un I Ui","Campinas - Centro Atend Socio-educ Adolescente - Maestro Carlos Gomes Un I Ui","13069-096","av comendador aladino selmi, sn, NA, Campinas"
"131","Jaguariuna","08","celso henrique tozzi professor","rua marechal floriano peixoto","261",NA,"berlim","019","38671570","38675091","e017700a@educacao.sp.gov.br"," 393","  0","0","Professor Celso Henrique Tozzi","Jaguariuna - Professor Celso Henrique Tozzi","13820-000","rua marechal floriano peixoto, 261, NA, Jaguariuna"
"132","Nova Odessa","08","silvania aparecida santos profa","rua irineu jose bordon","sn",NA,"santa luiza ii","019","34662982","34662145","e049906a@educacao.sp.gov.br"," 354","  0","0","Profa Silvania Aparecida Santos","Nova Odessa - Profa Silvania Aparecida Santos","13460-000","rua irineu jose bordon, sn, NA, Nova Odessa"
"133","Nova Odessa","08","joao thienne dr","rua independencia","500",NA,"centro","019","34661245","34662983","e017309a@educacao.sp.gov.br"," 414","  0","0","Dr Joao Thienne","Nova Odessa - Dr Joao Thienne","13460-000","rua independencia, 500, NA, Nova Odessa"
"134","Campinas","08","dom barreto","avenida general carneiro","120",NA,"ponte preta","019","32368472","32366120","e018797a@educacao.sp.gov.br"," 953","  0","0","Dom Barreto","Campinas - Dom Barreto","13041-306","avenida general carneiro, 120, NA, Campinas"
"135","Campinas","08","carlos alberto galhiego professor","av john boyd dunlop","sn",NA,"jardim santa clara","019","32614911",NA,"e039901a@educacao.sp.gov.br"," 720","  0","0","Professor Carlos Alberto Galhiego","Campinas - Professor Carlos Alberto Galhiego","13058-326","av john boyd dunlop, sn, NA, Campinas"
"136","Campinas","08","jamil gadia deputado","rua santa cruz das palmeiras","sn",NA,"jardim nova europa","019","32386499",NA,"e040873a@educacao.sp.gov.br"," 147"," 31","0","Deputado Jamil Gadia","Campinas - Deputado Jamil Gadia","13040-084","rua santa cruz das palmeiras, sn, NA, Campinas"
"137","Campinas","08","paulo mangabeira albernaz prof doutor","r jair jorge bosco","15",NA,"jardim aparecida","019","32811979",NA,"e045697a@educacao.sp.gov.br"," 210","  0","0","Prof Doutor Paulo Mangabeira Albernaz","Campinas - Prof Doutor Paulo Mangabeira Albernaz","13068-605","r jair jorge bosco, 15, NA, Campinas"
"138","Campinas","08","cecilia de godoy camargo jornalista","rua silvana teixeira reis","sn",NA,"jardim rosalina","019","32246334","32246286","e127796a@educacao.sp.gov.br"," 292","119","0","Jornalista Cecilia De Godoy Camargo","Campinas - Jornalista Cecilia De Godoy Camargo","13054-646","rua silvana teixeira reis, sn, NA, Campinas"
"139","Campinas","08","jardim rossin","r benedita iny de avila","918",NA,"cidade satelite iris","019","32216122",NA,"e445897a@educacao.sp.gov.br"," 346"," 89","0","Jardim Rossin","Campinas - Jardim Rossin","13059-620","r benedita iny de avila, 918, NA, Campinas"
"140","Campinas","08","jardim santa clara","r benedicto antonio filho","200",NA,"conjunto habitacional campinas h","019","32217321",NA,"e461635a@educacao.sp.gov.br","  55","  0","0","Jardim Santa Clara","Campinas - Jardim Santa Clara","13058-820","r benedicto antonio filho, 200, NA, Campinas"
"141","Campinas","08","eliseu narciso reverendo","rua sebastiao de campos","16",NA,"dic iii (conjunto habitacional ruy novaes)","019","32667866","32669600","e901118a@educacao.sp.gov.br"," 745","  0","0","Reverendo Eliseu Narciso","Campinas - Reverendo Eliseu Narciso","13054-233","rua sebastiao de campos, 16, NA, Campinas"
"142","Campinas","08","paul eugene charbonneau prof doutor","rua jose romualdo de oliveira","111",NA,"jardim fernanda","019","32255391","32255622","e907397a@educacao.sp.gov.br"," 597","  0","0","Prof Doutor Paul Eugene Charbonneau","Campinas - Prof Doutor Paul Eugene Charbonneau","13053-613","rua jose romualdo de oliveira, 111, NA, Campinas"
"143","Campinas","08","francisco de assis","rua herminia gregorio pereira lopes","275",NA,"vila palmeiras ii","019","32255851","32650600","e914897a@educacao.sp.gov.br"," 371","  0","0","Francisco De Assis","Campinas - Francisco De Assis","13053-221","rua herminia gregorio pereira lopes, 275, NA, Campinas"
"144","Campinas","08","rachel de queiroz escritora","rua doutora joana zanaga aboim gomes","sn",NA,"jardim yeda","019","32234577",NA,"e924573a@educacao.sp.gov.br"," 624","  0","0","Escritora Rachel De Queiroz","Campinas - Escritora Rachel De Queiroz","13060-628","rua doutora joana zanaga aboim gomes, sn, NA, Campinas"
"145","Hortolandia","08","maria antonietta garnero la fortezza professora","rua oswaldo souza","355",NA,"jardim novo angulo","019","38872955",NA,"e048264a@educacao.sp.gov.br"," 525","  0","0","Professora Maria Antonietta Garnero La Fortezza","Hortolandia - Professora Maria Antonietta Garnero La Fortezza","13185-153","rua oswaldo souza, 355, NA, Hortolandia"
"146","Sumare","08","jayme de barros camara dom","avenida jose mancini","501",NA,"jardim carlos basso","019","38731472","38284607","e017036a@educacao.sp.gov.br"," 326","  0","0","Dom Jayme De Barros Camara","Sumare - Dom Jayme De Barros Camara","13170-040","avenida jose mancini, 501, NA, Sumare"
"147","Sumare","08","antonio do valle sobrinho","rua virginio basso","614",NA,"jardim campo  belo","019","38731464","38737577","e042572a@educacao.sp.gov.br"," 402","  0","0","Antonio Do Valle Sobrinho","Sumare - Antonio Do Valle Sobrinho","13174-190","rua virginio basso, 614, NA, Sumare"
"148","Sumare","08","angelo campo dall orto","avenida sao paulo","466",NA,"jardim  nova veneza","019","38641023","38543871","e017243p@educacao.sp.gov.br"," 637","  0","0","Angelo Campo Dall Orto","Sumare - Angelo Campo Dall Orto","13177-000","avenida sao paulo, 466, NA, Sumare"
"149","Sumare","08","luiz campo dall orto sobrinho","r goianesia","299",NA,"jardim dall'orto","019","38641020","38549255","e042500a@educacao.sp.gov.br"," 385","105","0","Luiz Campo Dall Orto Sobrinho","Sumare - Luiz Campo Dall Orto Sobrinho","13178-030","r goianesia, 299, NA, Sumare"
"150","Sumare","08","maria cheila alves professora","rua aldo de oliveira muller","393",NA,"parque das nacoes","019","38641028","38543887","e042560a@educacao.sp.gov.br","   0","172","0","Professora Maria Cheila Alves","Sumare - Professora Maria Cheila Alves","13181-210","rua aldo de oliveira muller, 393, NA, Sumare"
"151","Campinas","08","castinauta de barros mello e albuquerque professora","rua orlando de oliveira","sn",NA,"jardim sao marcos","019","32462977","32463229","e018818a@educacao.sp.gov.br"," 342","  0","0","Professora Castinauta De Barros Mello E Albuquerque","Campinas - Professora Castinauta De Barros Mello E Albuquerque","13082-330","rua orlando de oliveira, sn, NA, Campinas"
"152","Campinas","08","telemaco paioli melges doutor","rua antonio fagotto","sn",NA,"san martin","019","32825529",NA,"e065626a@educacao.sp.gov.br"," 245","  0","0","Doutor Telemaco Paioli Melges","Campinas - Doutor Telemaco Paioli Melges","13069-081","rua antonio fagotto, sn, NA, Campinas"
"153","Campinas","08","vila olimpia","r do hipismo","100",NA,"conjunto habitacional residencial olimpia","019","37750193","37750195","e564990a@educacao.sp.gov.br"," 191"," 72","0","Vila Olimpia","Campinas - Vila Olimpia","13069-400","r do hipismo, 100, NA, Campinas"
"154","Campinas","34","centro atend socioed ao adolesc campinas un ii ui","av comendador aladino selmi","sn",NA,"vila san martin","019","32826837",NA,"pedagcasacampinas@fundacaocasa.sp.gov.br","  20","  0","0","Centro Atend Socio-educ Adolescente Campinas Un Ii Ui","Campinas - Centro Atend Socio-educ Adolescente Campinas Un Ii Ui","13069-096","av comendador aladino selmi, sn, NA, Campinas"
"155","Campinas","34","centro de atend socioeduc ao adolescente andorinhas ui","av comendador aladino selmi","1",NA,"vila san martin","019","33031889",NA,"pedagcasaandorinhas@fundacaocasa.sp.gov.br","  20","  0","0","Centro Atend Socio-educ Adolescente Andorinhas Ui","Campinas - Centro Atend Socio-educ Adolescente Andorinhas Ui","13069-096","av comendador aladino selmi, 1, NA, Campinas"
"156","Campinas","08","hilton federici professor","rua eduardo modesto","91",NA,"vila sao isabel","019","32891259","32894543","e042651a@educacao.sp.gov.br"," 213"," 54","0","Professor Hilton Federici","Campinas - Professor Hilton Federici","13084-360","rua eduardo modesto, 91, NA, Campinas"
"157","Monte Mor","08","carmela chiara ginefra professora","rua armando sales de oliveira","75",NA,"centro","019","38891856","38790258","e913017a@educacao.sp.gov.br"," 363","  0","0","Professora Carmela Chiara Ginefra","Monte Mor - Professora Carmela Chiara Ginefra","13190-000","rua armando sales de oliveira, 75, NA, Monte Mor"
"158","Campinas","08","benevenuto torres professor","rua aba","sn",NA,"parque universitario de viracopos","019","32668022","32669611","e903899a@educacao.sp.gov.br"," 379","  0","0","Professor Benevenuto Torres","Campinas - Professor Benevenuto Torres","13056-502","rua aba, sn, NA, Campinas"
"159","Campinas","08","alvaro cotomacci professor","rua tenente moacyr brilhante","sn",NA,"jardim novo maracana","019","32611423",NA,"e907376a@educacao.sp.gov.br"," 372","  0","0","Professor Alvaro Cotomacci","Campinas - Professor Alvaro Cotomacci","13058-432","rua tenente moacyr brilhante, sn, NA, Campinas"
"160","Campinas","08","disnei francisco scornaienchi doutor","rua edmundo vosgrau","515",NA,"parque jambeiro","019","32763555",NA,"e917758a@educacao.sp.gov.br"," 185","  0","0","Doutor Disnei Francisco Scornaienchi","Campinas - Doutor Disnei Francisco Scornaienchi","13042-330","rua edmundo vosgrau, 515, NA, Campinas"
"161","Campinas","08","nucleo habitacional vida nova bairro mauro marcondes","rua estevao segallio","140",NA,"conjunto habitacional vida nova","019","32669764","32669577","e923394a@educacao.sp.gov.br"," 463"," 83","0","Nucleo Habitacional Vida Nova Bairro Mauro Marcondes","Campinas - Nucleo Habitacional Vida Nova Bairro Mauro Marcondes","13057-523","rua estevao segallio, 140, NA, Campinas"
"162","Campinas","08","sao judas tadeu","rua doutor nivaldo alves bonilha","sn",NA,"cidade satelite iris","019","32685844","32685845","e923655a@educacao.sp.gov.br"," 278","  0","0","Sao Judas Tadeu","Campinas - Sao Judas Tadeu","13059-648","rua doutor nivaldo alves bonilha, sn, NA, Campinas"
"163","Campinas","08","rita de cassia da silva professora","r placida pretini","101",NA,"parque sao jorge","019","32824444",NA,"e924544a@educacao.sp.gov.br"," 442"," 14","0","Professora Rita De Cassia Da Silva","Campinas - Professora Rita De Cassia Da Silva","13064-812","r placida pretini, 101, NA, Campinas"
"164","Valinhos","08","adoniran barbosa","r das azaleas","3403",NA,"fonte nova","019","38715236",NA,"e049451a@educacao.sp.gov.br"," 555","  0","0","Adoniran Barbosa","Valinhos - Adoniran Barbosa","13273-450","r das azaleas, 3403, NA, Valinhos"
"165","Vinhedo","08","maria do carmo ricci von zuben professora","avenida nossa senhora de lourdes","110",NA,"capela","019","38866815",NA,"e920642a@educacao.sp.gov.br"," 810","  0","0","Professora Maria Do Carmo Ricci Von Zuben","Vinhedo - Professora Maria Do Carmo Ricci Von Zuben","13280-000","avenida nossa senhora de lourdes, 110, NA, Vinhedo"
"166","Campinas","08","roberto marinho jornalista","r sudoeste","sn",NA,"vila renascenca","019","32817700","32817675","e065535a@educacao.sp.gov.br"," 245","  0","0","Jornalista Roberto Marinho","Campinas - Jornalista Roberto Marinho","13067-360","r sudoeste, sn, NA, Campinas"
"167","Hortolandia","08","manoel ignacio da silva","rua luiz camilo de camargo","355",NA,"vila sao francisco","019","38973988","38975627","e017279a@educacao.sp.gov.br"," 307","  0","0","Manoel Ignacio Da Silva","Hortolandia - Manoel Ignacio Da Silva","13184-420","rua luiz camilo de camargo, 355, NA, Hortolandia"
"168","Hortolandia","08","maria cristina de souza lobo professora","r angra dos reis","130",NA,"jardim nova europa","019","38191569","38191645","e462019a@educacao.sp.gov.br"," 219","  0","0","Professora Maria Cristina De Souza Lobo","Hortolandia - Professora Maria Cristina De Souza Lobo","13184-862","r angra dos reis, 130, NA, Hortolandia"
"169","Hortolandia","08","antonio zanluchi professor","rua primavera","450",NA,"parque do horto","019","38971446","38191455","e917965a@educacao.sp.gov.br"," 507","147","0","Professor Antonio Zanluchi","Hortolandia - Professor Antonio Zanluchi","13183-693","rua primavera, 450, NA, Hortolandia"
"170","Sumare","08","joao franceschini","rua cabo hoffmann","161",NA,"jardim sao paulo","019","38732529","38732786","e017267a@educacao.sp.gov.br"," 710","  0","0","Joao Franceschini","Sumare - Joao Franceschini","13170-470","rua cabo hoffmann, 161, NA, Sumare"
"171","Sumare","08","savino campigli","rua sebastiao jose teixeira","6",NA,"jardim  dall'orto","019","38543888",NA,"e914940a@educacao.sp.gov.br"," 157","  0","0","Savino Campigli","Sumare - Savino Campigli","13178-101","rua sebastiao jose teixeira, 6, NA, Sumare"
"172","Campinas","08","jose vilagelin neto professor","rua dom luiz antonio de souza","89",NA,"jardim proenca","019","32536887",NA,"e018211a@educacao.sp.gov.br"," 282","  0","0","Professor Jose Vilagelin Neto","Campinas - Professor Jose Vilagelin Neto","13026-285","rua dom luiz antonio de souza, 89, NA, Campinas"
"173","Campinas","08","adalberto nascimento","rua adalberto maia","235",NA,"taquaral","019","32512824","32546945","e018284a@educacao.sp.gov.br"," 559","  0","0","Adalberto Nascimento","Campinas - Adalberto Nascimento","13076-971","rua adalberto maia, 235, NA, Campinas"
"174","Campinas","08","ataliba nogueira barao","rua cassio ciampolini","76",NA,"jardim magnolia","019","32414123","32132400","e018764a@educacao.sp.gov.br"," 229","  0","0","Barao Ataliba Nogueira","Campinas - Barao Ataliba Nogueira","13033-240","rua cassio ciampolini, 76, NA, Campinas"
"175","Campinas","08","felipe cantusio","rua custodio jose inacio rodrigues","269",NA,"parque industrial","019","32732875","32730000","e018806a@educacao.sp.gov.br"," 203","  0","0","Felipe Cantusio","Campinas - Felipe Cantusio","13031-600","rua custodio jose inacio rodrigues, 269, NA, Campinas"
"176","Campinas","08","hildebrando siqueira professor","rua silvio di marzio","sn",NA,"jardim eulina","019","32426299","32424850","e035932a@educacao.sp.gov.br"," 182","  0","0","Professor Hildebrando Siqueira","Campinas - Professor Hildebrando Siqueira","13063-370","rua silvio di marzio, sn, NA, Campinas"
"177","Campinas","08","sebastiao ramos nogueira professor","rua candido mota","80",NA,"sao bernardo","019","32729255",NA,"e042686a@educacao.sp.gov.br"," 215","  0","0","Professor Sebastiao Ramos Nogueira","Campinas - Professor Sebastiao Ramos Nogueira","13031-385","rua candido mota, 80, NA, Campinas"
"179","Vinhedo","00","vinhedo centro municipal de ensino supletivo fund e medio","rua monteiro de barros","351",NA,"centro","019","38766625",NA,"gloria.educacao@vinhedo.sp.gov.br","   0","129","0","Centro Mun De Ens Supletivo Fund E Med Vinhedo","Vinhedo - Centro Mun De Ens Supletivo Fund E Med Vinhedo","13280-000","rua monteiro de barros, 351, NA, Vinhedo"
"180","Vinhedo","00","andre franco montoro professor em","rua juliana zuben degelo","sn",NA,"jardim bela vista","019","38868492",NA,"gloria.educacao@vinhedo.sp.gov.br","   0","115","0","Professor Andre Franco Montoro (EM)","Vinhedo - Professor Andre Franco Montoro (EM)","13280-000","rua juliana zuben degelo, sn, NA, Vinhedo"
"181","Paulinia","00","angelo corassa filho vereador emefm","av luiz greco","181",NA,"vila monte alegre","019","38841314",NA,"emefmdepaulinia@ig.com.br","   0","159","0","Vereador Angelo Corassa Filho (EMEFM)","Paulinia - Vereador Angelo Corassa Filho (EMEFM)","13142-490","av luiz greco, 181, NA, Paulinia"
"183","Sumare","00","leandro franceschini doutor escola municipal","rua geraldo de souza","157",NA,"jardim  carlos basso","019","38732605","38731574","emleandro@uol.com.br"," 926","  0","0","Doutor Leandro Franceschini (EM)","Sumare - Doutor Leandro Franceschini (EM)","13170-232","rua geraldo de souza, 157, NA, Sumare"
"184","Paulinia","00","marcelino pietrobom maestro emefm","r aldo moretti","181",NA,"jardim planalto","019","38749634",NA,"emef-maestro@paulinia.sp.gov.br","   0","152","0","Maestro Marcelino Pietrobom (EMEFM)","Paulinia - Maestro Marcelino Pietrobom (EMEFM)","13145-153","r aldo moretti, 181, NA, Paulinia"
"185","Sumare","00","jose de anchieta escola municipal","rua geraldo de souza","157",NA,"jardim carlos basso","019","38732605","38731574","joanchieta@gmail.com","  28","  0","0","Jose De Anchieta (EM)","Sumare - Jose De Anchieta (EM)","13170-232","rua geraldo de souza, 157, NA, Sumare"
